TxI_fixed,TxQ_fixed,RxI_fixed,RxQ_fixed
196608,-196608,273774,-306227
-196608,-196608,-186365,-215731
65536,-65536,5752,-67966
196608,-65536,304422,-64608
196608,-65536,254406,-55006
-65536,-196608,-72596,-160995
196608,196608,239031,194542
65536,-65536,41984,-87008
65536,196608,113908,172829
196608,-65536,57113,-101212
65536,196608,6041,242553
196608,196608,253738,158890
65536,-196608,50971,-147208
-65536,196608,-53428,197716
-196608,65536,-275179,35126
-65536,-196608,42268,-160530
-65536,-65536,3919,-107976
-196608,-196608,-208316,-159376
65536,65536,41926,77946
-196608,65536,-136541,30747
196608,196608,312265,227448
-196608,65536,-140966,97424
-65536,65536,61167,133065
-196608,65536,-250418,121901
65536,65536,17733,94197
-65536,-65536,-134899,-131319
196608,-65536,222380,77314
65536,-196608,75781,-278495
-65536,196608,-74401,251988
196608,-65536,243820,-40375
65536,65536,137430,-2963
196608,196608,107601,189356
-196608,-65536,-231435,-70130
-196608,-196608,-148761,-120441
196608,65536,169320,23922
-196608,196608,-243175,181326
196608,-65536,256029,-201822
65536,196608,-9693,297814
-65536,-65536,-83130,-127987
196608,-196608,215781,-177536
-65536,65536,-99013,59620
-65536,-196608,-19847,-202325
196608,65536,163420,112783
-196608,65536,-114429,163037
65536,196608,58200,211280
-65536,-65536,-26374,-27319
65536,-196608,109059,-177421
-65536,-196608,-102147,-137245
196608,-196608,76808,-223614
-196608,196608,-175562,259346
65536,196608,69753,261394
-65536,196608,-33109,259763
196608,65536,183392,27023
196608,-196608,171497,-206429
-65536,65536,51638,79506
-65536,-196608,-151433,-276583
-65536,-196608,-22717,-103561
-196608,-65536,-230130,-66252
-65536,-196608,-85125,-180044
-65536,196608,-84036,162946
-196608,196608,-243480,119198
196608,196608,229933,161369
-65536,-65536,15594,-52748
65536,-65536,92957,-26248
196608,65536,202639,74975
65536,-196608,7987,-176380
-65536,-196608,-35385,-216270
-196608,196608,-70807,225559
-196608,196608,-218818,283116
-196608,196608,-218543,237725
-65536,196608,-98270,243837
-65536,196608,-94088,213761
65536,196608,-94624,108914
-196608,-196608,-172978,-257554
-65536,-65536,-114865,-38999
196608,196608,102666,195970
-65536,-196608,-21595,-170948
-65536,196608,-128661,294410
196608,65536,176850,107893
-196608,65536,-111056,138979
196608,-196608,114395,-191084
-196608,-65536,-286019,-112629
196608,65536,212319,62160
65536,65536,132597,18587
-196608,-65536,-288455,25375
-65536,65536,-41751,111647
65536,196608,99431,226975
-196608,-65536,-316739,6569
-196608,65536,-150024,-52314
-196608,-65536,-145467,-31224
196608,196608,178418,120145
-196608,65536,-123546,65113
-65536,-196608,765,-214793
-196608,65536,-190592,104142
-65536,65536,-91873,78848
-65536,196608,-122291,275082
-65536,-196608,-67727,-231723
65536,-196608,98776,-155238
-65536,-196608,-84448,-187144
196608,196608,68406,101205
-196608,196608,-122591,143016
196608,196608,207706,187864
65536,196608,43389,261499
-196608,196608,-146602,223662
-65536,-196608,23411,-264720
-196608,-65536,-360071,-73722
65536,196608,90871,314326
65536,-65536,-17694,-59047
196608,65536,225726,46440
-196608,65536,-189145,94224
-196608,196608,-159520,241144
-196608,65536,-225734,38923
196608,-65536,87324,-36216
65536,65536,39262,46349
-65536,65536,-41801,107501
-196608,-65536,-137370,-55636
196608,65536,128244,93654
196608,196608,256526,152317
-65536,-65536,-103333,-113450
65536,-65536,86681,-10376
-196608,-196608,-226355,-201240
-196608,-196608,-185980,-179979
196608,-65536,248640,-83411
65536,-65536,-6048,-13104
-196608,-196608,-236274,-232068
-65536,196608,-54745,188697
65536,65536,205644,111391
65536,65536,15178,133967
196608,65536,315629,34980
196608,-65536,313546,48792
-196608,196608,-202285,214882
196608,-196608,179214,-257452
65536,196608,25161,218138
-196608,196608,-200587,174264
-196608,65536,-278676,90859
65536,-196608,61088,-199108
-196608,196608,-109280,200941
-65536,-196608,-101187,-249790
-65536,-65536,-79580,-7776
-196608,65536,-295852,-1912
196608,-196608,218431,-261293
-65536,-65536,-50106,-44104
-196608,-65536,-192892,27974
-65536,-65536,-78186,-86106
196608,196608,179529,237503
65536,196608,94817,259226
-196608,65536,-198289,113065
-196608,65536,-178233,47380
-196608,-65536,-184066,-129187
-196608,65536,-131067,-63252
-196608,196608,-157112,181274
-196608,65536,-185356,134265
196608,-196608,285192,-262192
65536,196608,90054,237458
196608,-65536,272739,-120968
196608,-65536,232017,-59348
65536,65536,-41921,106828
196608,196608,272732,158133
-65536,-65536,-57650,-55590
196608,-65536,193577,-89752
-196608,196608,-180194,237746
-65536,196608,-85662,210336
-65536,-65536,-52291,-62239
65536,65536,31006,156450
196608,65536,270949,104175
196608,65536,189981,25261
-65536,-196608,-87856,-201617
196608,196608,142648,192180
196608,-65536,212288,-60850
65536,-196608,76452,-49329
-65536,65536,-42875,87171
-196608,-196608,-256538,-315382
-65536,-65536,-158949,-97203
65536,-65536,102033,-178270
65536,196608,152150,177368
65536,65536,5659,-50403
196608,65536,289336,14688
-65536,-196608,-48973,-285327
196608,65536,196196,87948
196608,-196608,173415,-196577
-65536,-65536,-146309,-47861
65536,-65536,123160,-71636
-196608,-65536,-241857,-146879
-196608,-65536,-242102,-35577
-65536,-65536,-7667,46606
-65536,-196608,-175389,-172735
65536,-65536,-23350,-90384
-65536,-196608,-66594,-279921
-65536,-65536,-48426,-118512
65536,-196608,93815,-170178
65536,-196608,47929,-134003
196608,-196608,344229,-181389
-65536,65536,-78831,112201
-196608,-196608,-210072,-155322
-65536,-196608,-112032,-167057
-196608,-65536,-189379,-103951
-196608,-196608,-160731,-186461
-196608,-196608,-126391,-246102
196608,196608,109723,197625
65536,65536,51185,84839
65536,196608,91597,294548
196608,-65536,230857,-141946
65536,65536,65918,93627
196608,65536,228253,151951
-65536,196608,-112731,240879
196608,65536,287496,114130
65536,196608,123446,230894
65536,-196608,-12927,-120863
-65536,196608,-128257,133165
196608,65536,135531,-15319
-65536,65536,-25983,65166
-196608,-65536,-271559,-191618
196608,-65536,177296,6260
-65536,-65536,-39009,5680
-65536,-65536,-69396,-90818
65536,65536,80639,43905
196608,-65536,134429,-69757
-196608,196608,-161904,199643
-196608,-196608,-232383,-189189
196608,65536,177670,98103
196608,-65536,210477,-75607
-65536,65536,-59522,120562
65536,-65536,66935,-39519
65536,65536,21745,30126
65536,-65536,48060,12354
196608,-196608,196735,-275848
65536,-65536,-14686,-70913
-65536,196608,-92520,253018
196608,65536,219225,23352
196608,65536,122083,83595
65536,196608,133011,228306
-196608,196608,-122539,146405
-196608,-196608,-269250,-200836
-65536,65536,13667,56406
65536,-196608,57159,-228796
65536,65536,89952,199815
196608,65536,167633,21017
196608,-196608,250458,-137981
65536,65536,89227,42620
196608,65536,149110,2142
65536,-196608,-2442,-190610
-65536,-65536,-150730,-27668
196608,-196608,207572,-142906
65536,65536,98934,156678
196608,196608,234585,368433
-65536,-65536,-72419,-50921
196608,196608,129109,157923
65536,-65536,25744,-39115
196608,196608,263836,181077
196608,-65536,168335,-11515
65536,-196608,73903,-272284
-196608,-65536,-259361,72632
196608,-65536,216244,-15594
196608,-65536,169907,-163780
-65536,65536,-4471,24171
-196608,196608,-151479,244218
